{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': 'bow', 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': True}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': 'one hand weapon and shield', 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': 'destruction staff', 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': 'destruction staff', 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': 'two-handed weapon', 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
{'weapon_dependent': False, 'armor_dependent': False, 'in_combat': False, 'restores': False}
